ML_USE,GCS_FILE_PATH,LABEL,X_MIN,Y_MIN,X_MAX,Y_MIN,X_MAX,Y_MAX,X_MIN,Y_MAX
TRAINING,gs://laundry_symbols_test/Laundry Coach v1i Coco/train/PXL_20221022_033449029_jpg.rf.bbc75987d5bb7af8313c5e4840bfcf29.jpg,dry_clean_any_solvent_except_trichloroethylene,0.3609375,0.3828125,,,0.4137203125,0.42334062499999997,,
TRAINING,gs://laundry_symbols_test/Laundry Coach v1i Coco/train/PXL_20221022_033449029_jpg.rf.bbc75987d5bb7af8313c5e4840bfcf29.jpg,iron_medium,0.4203125,0.375,,,0.48877031249999997,0.4234375,,
TRAINING,gs://laundry_symbols_test/Laundry Coach v1i Coco/train/PXL_20221022_033449029_jpg.rf.bbc75987d5bb7af8313c5e4840bfcf29.jpg,DN_tumble_dry,0.4953125,0.375,,,0.559278125,0.417090625,,
TRAINING,gs://laundry_symbols_test/Laundry Coach v1i Coco/train/PXL_20221022_033449029_jpg.rf.bbc75987d5bb7af8313c5e4840bfcf29.jpg,DN_bleach,0.56875,0.3734375,,,0.62841875,0.4142578125,,
TRAINING,gs://laundry_symbols_test/Laundry Coach v1i Coco/train/PXL_20221022_033449029_jpg.rf.bbc75987d5bb7af8313c5e4840bfcf29.jpg,30C,0.6359375,0.36875,,,0.7079109375,0.41875,,
TRAINING,gs://laundry_symbols_test/Laundry Coach v1i Coco/train/istockphoto-501619464-612x612_jpeg.rf.c447a043aea6234be9d1b4d04a95aec9.jpg,hand_wash,0.4546875,0.5359375,,,0.52578125,0.62578125,,
TRAINING,gs://laundry_symbols_test/Laundry Coach v1i Coco/train/34_jpg.rf.c2babf5a0a9c667015c99a181594cff3.jpg,ER_15,0.2859375,0.584375,,,0.42685625,0.6684578125,,
TRAINING,gs://laundry_symbols_test/Laundry Coach v1i Coco/train/34_jpg.rf.c2babf5a0a9c667015c99a181594cff3.jpg,ER_37,0.26875,0.6703125,,,0.4171875,0.7498046875,,
TRAINING,gs://laundry_symbols_test/Laundry Coach v1i Coco/train/34_jpg.rf.c2babf5a0a9c667015c99a181594cff3.jpg,ER_42,0.271875,0.746875,,,0.4015625,0.8294921875,,
TRAINING,gs://laundry_symbols_test/Laundry Coach v1i Coco/train/34_jpg.rf.c2babf5a0a9c667015c99a181594cff3.jpg,ER_27,0.2609375,0.8328125,,,0.385840625,0.8998046875,,
TRAINING,gs://laundry_symbols_test/Laundry Coach v1i Coco/train/34_jpg.rf.c2babf5a0a9c667015c99a181594cff3.jpg,ER_18,0.2515625,0.9125,,,0.3815921875,0.9796875,,
TRAINING,gs://laundry_symbols_test/Laundry Coach v1i Coco/train/108_jpg.rf.b6d4fad380c634b32adb620ce00b11ac.jpg,ER_15,0.246875,0.3859375,,,0.321875,0.43046875,,
TRAINING,gs://laundry_symbols_test/Laundry Coach v1i Coco/train/108_jpg.rf.b6d4fad380c634b32adb620ce00b11ac.jpg,ER_27,0.2640625,0.4453125,,,0.32890625,0.48515625,,
TRAINING,gs://laundry_symbols_test/Laundry Coach v1i Coco/train/108_jpg.rf.b6d4fad380c634b32adb620ce00b11ac.jpg,ER_18,0.275,0.4890625,,,0.3390625,0.52890625,,
TRAINING,gs://laundry_symbols_test/Laundry Coach v1i Coco/train/108_jpg.rf.b6d4fad380c634b32adb620ce00b11ac.jpg,ER_37,0.2734375,0.5328125,,,0.346875,0.57109375,,
TRAINING,gs://laundry_symbols_test/Laundry Coach v1i Coco/train/108_jpg.rf.b6d4fad380c634b32adb620ce00b11ac.jpg,ER_42,0.284375,0.5765625,,,0.33984375,0.61328125,,
TRAINING,gs://laundry_symbols_test/Laundry Coach v1i Coco/train/87_jpg.rf.af4649f2fc3cb6b737d9dd9a43ff9a96.jpg,ER_5,0.20625,0.3625,,,0.284375,0.40703125,,
TRAINING,gs://laundry_symbols_test/Laundry Coach v1i Coco/train/87_jpg.rf.af4649f2fc3cb6b737d9dd9a43ff9a96.jpg,ER_19,0.2875,0.3609375,,,0.35078125,0.4078125,,
TRAINING,gs://laundry_symbols_test/Laundry Coach v1i Coco/train/87_jpg.rf.af4649f2fc3cb6b737d9dd9a43ff9a96.jpg,ER_26,0.3546875,0.3671875,,,0.40703125,0.4078125,,
TRAINING,gs://laundry_symbols_test/Laundry Coach v1i Coco/train/87_jpg.rf.af4649f2fc3cb6b737d9dd9a43ff9a96.jpg,ER_38,0.4125,0.3671875,,,0.49140625,0.40703125,,
TRAINING,gs://laundry_symbols_test/Laundry Coach v1i Coco/train/87_jpg.rf.af4649f2fc3cb6b737d9dd9a43ff9a96.jpg,ER_42,0.496875,0.3703125,,,0.54375,0.40390625,,
TRAINING,gs://laundry_symbols_test/Laundry Coach v1i Coco/train/114_jpg.rf.b2c7d7ed8e18fa0068316a6e9ad9e3e1.jpg,ER_5,0.3140625,0.690625,,,0.3956546875,0.7388671875,,
TRAINING,gs://laundry_symbols_test/Laundry Coach v1i Coco/train/114_jpg.rf.b2c7d7ed8e18fa0068316a6e9ad9e3e1.jpg,ER_18,0.4,0.6875,,,0.47334062499999996,0.731640625,,
TRAINING,gs://laundry_symbols_test/Laundry Coach v1i Coco/train/114_jpg.rf.b2c7d7ed8e18fa0068316a6e9ad9e3e1.jpg,ER_39,0.484375,0.68125,,,0.5564453125,0.72216875,,
TRAINING,gs://laundry_symbols_test/Laundry Coach v1i Coco/train/114_jpg.rf.b2c7d7ed8e18fa0068316a6e9ad9e3e1.jpg,ER_42,0.5625,0.66875,,,0.6233890625,0.7125984375,,
TRAINING,gs://laundry_symbols_test/Laundry Coach v1i Coco/train/114_jpg.rf.b2c7d7ed8e18fa0068316a6e9ad9e3e1.jpg,ER_27,0.6296875,0.653125,,,0.69375,0.7076171875,,
TRAINING,gs://laundry_symbols_test/Laundry Coach v1i Coco/train/3_jpg.rf.b58356cae6a89467c3fc23569954cc9e.jpg,ER_3,0.1296875,0.153125,,,0.315528125,0.34052812499999996,,
TRAINING,gs://laundry_symbols_test/Laundry Coach v1i Coco/train/3_jpg.rf.b58356cae6a89467c3fc23569954cc9e.jpg,ER_18,0.30625,0.1765625,,,0.4266609375,0.32666093749999997,,
TRAINING,gs://laundry_symbols_test/Laundry Coach v1i Coco/train/3_jpg.rf.b58356cae6a89467c3fc23569954cc9e.jpg,ER_27,0.428125,0.1765625,,,0.56279375,0.33125,,
TRAINING,gs://laundry_symbols_test/Laundry Coach v1i Coco/train/3_jpg.rf.b58356cae6a89467c3fc23569954cc9e.jpg,ER_37,0.5515625,0.1875,,,0.6968265625,0.34350625,,
TRAINING,gs://laundry_symbols_test/Laundry Coach v1i Coco/train/3_jpg.rf.b58356cae6a89467c3fc23569954cc9e.jpg,ER_52,0.6890625,0.2046875,,,0.8324703124999999,0.351709375,,
TRAINING,gs://laundry_symbols_test/Laundry Coach v1i Coco/train/img58_jpg.rf.c1d989efd8d898b694e9fb824d2dcb7c.jpg,DN_tumble_dry,0.5515625,0.4921875,,,0.61640625,0.57890625,,
TRAINING,gs://laundry_symbols_test/Laundry Coach v1i Coco/train/img58_jpg.rf.c1d989efd8d898b694e9fb824d2dcb7c.jpg,dry_clean_any_solvent_except_trichloroethylene,0.490625,0.484375,,,0.54765625,0.575,,
TRAINING,gs://laundry_symbols_test/Laundry Coach v1i Coco/train/img58_jpg.rf.c1d989efd8d898b694e9fb824d2dcb7c.jpg,iron_low,0.4109375,0.4828125,,,0.48828125,0.57421875,,
TRAINING,gs://laundry_symbols_test/Laundry Coach v1i Coco/train/img58_jpg.rf.c1d989efd8d898b694e9fb824d2dcb7c.jpg,DN_bleach,0.3453125,0.4671875,,,0.40703125,0.5703125,,
TRAINING,gs://laundry_symbols_test/Laundry Coach v1i Coco/train/img58_jpg.rf.c1d989efd8d898b694e9fb824d2dcb7c.jpg,hand_wash,0.2734375,0.4578125,,,0.3484375,0.55546875,,
TRAINING,gs://laundry_symbols_test/Laundry Coach v1i Coco/train/49719-featured-1200x800_jpg.rf.bfd09b5b6397dd16281ad14de3f50836.jpg,95C,0.0390625,0.11875,,,0.1421875,0.21640625,,
TRAINING,gs://laundry_symbols_test/Laundry Coach v1i Coco/train/49719-featured-1200x800_jpg.rf.bfd09b5b6397dd16281ad14de3f50836.jpg,30C,0.184375,0.1203125,,,0.28671875,0.215625,,
TRAINING,gs://laundry_symbols_test/Laundry Coach v1i Coco/train/49719-featured-1200x800_jpg.rf.bfd09b5b6397dd16281ad14de3f50836.jpg,40C,0.33125,0.121875,,,0.43203125,0.21328125,,
TRAINING,gs://laundry_symbols_test/Laundry Coach v1i Coco/train/49719-featured-1200x800_jpg.rf.bfd09b5b6397dd16281ad14de3f50836.jpg,50C,0.475,0.1171875,,,0.57890625,0.2171875,,
TRAINING,gs://laundry_symbols_test/Laundry Coach v1i Coco/train/49719-featured-1200x800_jpg.rf.bfd09b5b6397dd16281ad14de3f50836.jpg,DN_iron,0.6203125,0.13125,,,0.7203125,0.21640625,,
TRAINING,gs://laundry_symbols_test/Laundry Coach v1i Coco/train/49719-featured-1200x800_jpg.rf.bfd09b5b6397dd16281ad14de3f50836.jpg,iron_medium,0.759375,0.1328125,,,0.8421875,0.21640625,,
TRAINING,gs://laundry_symbols_test/Laundry Coach v1i Coco/train/49719-featured-1200x800_jpg.rf.bfd09b5b6397dd16281ad14de3f50836.jpg,iron_high,0.88125,0.13125,,,0.96171875,0.21484375,,
TRAINING,gs://laundry_symbols_test/Laundry Coach v1i Coco/train/49719-featured-1200x800_jpg.rf.bfd09b5b6397dd16281ad14de3f50836.jpg,iron_low,0.215625,0.378125,,,0.36796875,0.5265625,,
TRAINING,gs://laundry_symbols_test/Laundry Coach v1i Coco/train/49719-featured-1200x800_jpg.rf.bfd09b5b6397dd16281ad14de3f50836.jpg,hand_wash,0.4,0.35,,,0.59296875,0.5265625,,
TRAINING,gs://laundry_symbols_test/Laundry Coach v1i Coco/train/49719-featured-1200x800_jpg.rf.bfd09b5b6397dd16281ad14de3f50836.jpg,chlorine_bleach,0.621875,0.3171875,,,0.784375,0.528125,,
TRAINING,gs://laundry_symbols_test/Laundry Coach v1i Coco/train/49719-featured-1200x800_jpg.rf.bfd09b5b6397dd16281ad14de3f50836.jpg,bleach,0.0390625,0.7421875,,,0.1234375,0.85703125,,
TRAINING,gs://laundry_symbols_test/Laundry Coach v1i Coco/train/49719-featured-1200x800_jpg.rf.bfd09b5b6397dd16281ad14de3f50836.jpg,DN_bleach,0.18125,0.7453125,,,0.28046875,0.865625,,
TRAINING,gs://laundry_symbols_test/Laundry Coach v1i Coco/train/49719-featured-1200x800_jpg.rf.bfd09b5b6397dd16281ad14de3f50836.jpg,chlorine_bleach,0.334375,0.74375,,,0.4203125,0.85625,,
TRAINING,gs://laundry_symbols_test/Laundry Coach v1i Coco/train/49719-featured-1200x800_jpg.rf.bfd09b5b6397dd16281ad14de3f50836.jpg,DN_dry_clean,0.4734375,0.734375,,,0.56171875,0.86171875,,
TRAINING,gs://laundry_symbols_test/Laundry Coach v1i Coco/train/49719-featured-1200x800_jpg.rf.bfd09b5b6397dd16281ad14de3f50836.jpg,dry_clean_any_solvent,0.61875,0.7375,,,0.69453125,0.85390625,,
TRAINING,gs://laundry_symbols_test/Laundry Coach v1i Coco/train/49719-featured-1200x800_jpg.rf.bfd09b5b6397dd16281ad14de3f50836.jpg,dry_clean_any_solvent_except_trichloroethylene,0.7515625,0.740625,,,0.82734375,0.85078125,,
TRAINING,gs://laundry_symbols_test/Laundry Coach v1i Coco/train/49719-featured-1200x800_jpg.rf.bfd09b5b6397dd16281ad14de3f50836.jpg,dry_clean_petrol_only,0.884375,0.7421875,,,0.96171875,0.8546875,,
TRAINING,gs://laundry_symbols_test/Laundry Coach v1i Coco/train/49719-featured-1200x800_jpg.rf.bfd09b5b6397dd16281ad14de3f50836.jpg,DN_tumble_dry,0.040625,0.9234375,,,0.11875,1.0,,
TRAINING,gs://laundry_symbols_test/Laundry Coach v1i Coco/train/49719-featured-1200x800_jpg.rf.bfd09b5b6397dd16281ad14de3f50836.jpg,tumble_dry_normal,0.184375,0.9265625,,,0.25703125,1.0,,
TRAINING,gs://laundry_symbols_test/Laundry Coach v1i Coco/train/49719-featured-1200x800_jpg.rf.bfd09b5b6397dd16281ad14de3f50836.jpg,tumble_dry_normal,0.3234375,0.9265625,,,0.40078125,1.0,,
TRAINING,gs://laundry_symbols_test/Laundry Coach v1i Coco/train/49719-featured-1200x800_jpg.rf.bfd09b5b6397dd16281ad14de3f50836.jpg,tumble_dry_low,0.4625,0.928125,,,0.54140625,1.0,,
TRAINING,gs://laundry_symbols_test/Laundry Coach v1i Coco/train/49719-featured-1200x800_jpg.rf.bfd09b5b6397dd16281ad14de3f50836.jpg,tumble_dry_medium,0.6046875,0.9265625,,,0.68125,1.0,,
TRAINING,gs://laundry_symbols_test/Laundry Coach v1i Coco/train/49719-featured-1200x800_jpg.rf.bfd09b5b6397dd16281ad14de3f50836.jpg,drip_dry,0.746875,0.9265625,,,0.82421875,1.0,,
TRAINING,gs://laundry_symbols_test/Laundry Coach v1i Coco/train/191_jpg.rf.b4fb4d8a7474ed6011ef457350a96be7.jpg,ER_2,0.2921875,0.496875,,,0.3828125,0.57475625,,
TRAINING,gs://laundry_symbols_test/Laundry Coach v1i Coco/train/191_jpg.rf.b4fb4d8a7474ed6011ef457350a96be7.jpg,ER_18,0.378125,0.4984375,,,0.45810625,0.5778328125,,
TRAINING,gs://laundry_symbols_test/Laundry Coach v1i Coco/train/191_jpg.rf.b4fb4d8a7474ed6011ef457350a96be7.jpg,ER_38,0.45625,0.4984375,,,0.540528125,0.5763671875,,
TRAINING,gs://laundry_symbols_test/Laundry Coach v1i Coco/train/191_jpg.rf.b4fb4d8a7474ed6011ef457350a96be7.jpg,ER_42,0.5359375,0.50625,,,0.60288125,0.5794921875,,
TRAINING,gs://laundry_symbols_test/Laundry Coach v1i Coco/train/191_jpg.rf.b4fb4d8a7474ed6011ef457350a96be7.jpg,ER_27,0.596875,0.509375,,,0.666015625,0.578125,,
TRAINING,gs://laundry_symbols_test/Laundry Coach v1i Coco/train/imag3414es_jpg.rf.b87e098c13116f4504cc224803613060.jpg,iron_high,0.0671875,0.2078125,,,0.21015625,0.6828125,,
TRAINING,gs://laundry_symbols_test/Laundry Coach v1i Coco/train/imag3414es_jpg.rf.b87e098c13116f4504cc224803613060.jpg,iron_medium,0.296875,0.21875,,,0.45234375,0.684375,,
TRAINING,gs://laundry_symbols_test/Laundry Coach v1i Coco/train/imag3414es_jpg.rf.b87e098c13116f4504cc224803613060.jpg,iron_low,0.534375,0.228125,,,0.68125,0.6640625,,
TRAINING,gs://laundry_symbols_test/Laundry Coach v1i Coco/train/imag3414es_jpg.rf.b87e098c13116f4504cc224803613060.jpg,DN_iron,0.771875,0.178125,,,0.9234375,0.703125,,
TRAINING,gs://laundry_symbols_test/Laundry Coach v1i Coco/train/116_jpg.rf.b874721bc43fa9d3a62add306da99774.jpg,DN_bleach,0.340625,0.640625,,,0.4515625,0.7080078125,,
TRAINING,gs://laundry_symbols_test/Laundry Coach v1i Coco/train/116_jpg.rf.b874721bc43fa9d3a62add306da99774.jpg,DN_tumble_dry,0.478125,0.65,,,0.578028125,0.712890625,,
TRAINING,gs://laundry_symbols_test/Laundry Coach v1i Coco/train/116_jpg.rf.b874721bc43fa9d3a62add306da99774.jpg,iron_low,0.6046875,0.653125,,,0.7090828124999999,0.715625,,
TRAINING,gs://laundry_symbols_test/Laundry Coach v1i Coco/train/116_jpg.rf.b874721bc43fa9d3a62add306da99774.jpg,DN_dry_clean,0.7359375,0.653125,,,0.8439453125,0.7171875,,
TRAINING,gs://laundry_symbols_test/Laundry Coach v1i Coco/train/140_jpg.rf.b897a6479b6beb1f354205d4ba6078d2.jpg,ER_52,0.5890625,0.4765625,,,0.6451171875,0.52319375,,
TRAINING,gs://laundry_symbols_test/Laundry Coach v1i Coco/train/140_jpg.rf.b897a6479b6beb1f354205d4ba6078d2.jpg,ER_37,0.521875,0.4734375,,,0.587109375,0.5232421875,,
TRAINING,gs://laundry_symbols_test/Laundry Coach v1i Coco/train/140_jpg.rf.b897a6479b6beb1f354205d4ba6078d2.jpg,ER_27,0.465625,0.478125,,,0.5189453125,0.5234375,,
TRAINING,gs://laundry_symbols_test/Laundry Coach v1i Coco/train/140_jpg.rf.b897a6479b6beb1f354205d4ba6078d2.jpg,ER_18,0.4078125,0.4796875,,,0.4640625,0.5283203125,,
TRAINING,gs://laundry_symbols_test/Laundry Coach v1i Coco/train/140_jpg.rf.b897a6479b6beb1f354205d4ba6078d2.jpg,ER_5,0.34375,0.4828125,,,0.4033203125,0.5262703125,,
TRAINING,gs://laundry_symbols_test/Laundry Coach v1i Coco/train/120_jpg.rf.adf4d9180d83fb7ba68d0fd1c0458f4e.jpg,ER_5,0.29375,0.6078125,,,0.375,0.6546875,,
TRAINING,gs://laundry_symbols_test/Laundry Coach v1i Coco/train/120_jpg.rf.adf4d9180d83fb7ba68d0fd1c0458f4e.jpg,ER_18,0.3953125,0.60625,,,0.46171875,0.6546875,,
TRAINING,gs://laundry_symbols_test/Laundry Coach v1i Coco/train/120_jpg.rf.adf4d9180d83fb7ba68d0fd1c0458f4e.jpg,ER_27,0.484375,0.6046875,,,0.546875,0.64765625,,
TRAINING,gs://laundry_symbols_test/Laundry Coach v1i Coco/train/120_jpg.rf.adf4d9180d83fb7ba68d0fd1c0458f4e.jpg,ER_38,0.5640625,0.6046875,,,0.634375,0.64453125,,
TRAINING,gs://laundry_symbols_test/Laundry Coach v1i Coco/train/120_jpg.rf.adf4d9180d83fb7ba68d0fd1c0458f4e.jpg,ER_42,0.6546875,0.6,,,0.71171875,0.64296875,,
TRAINING,gs://laundry_symbols_test/Laundry Coach v1i Coco/train/dqwrecsda_jpg.rf.b47224c2aa9e0daf7c10149ee3ec9d5d.jpg,ER_24,0.071875,0.240625,,,0.206153125,0.36904375,,
TRAINING,gs://laundry_symbols_test/Laundry Coach v1i Coco/train/dqwrecsda_jpg.rf.b47224c2aa9e0daf7c10149ee3ec9d5d.jpg,ER_27,0.284375,0.2328125,,,0.450390625,0.373340625,,
TRAINING,gs://laundry_symbols_test/Laundry Coach v1i Coco/train/dqwrecsda_jpg.rf.b47224c2aa9e0daf7c10149ee3ec9d5d.jpg,ER_23,0.0828125,0.490625,,,0.213965625,0.6188484375,,
TRAINING,gs://laundry_symbols_test/Laundry Coach v1i Coco/train/dqwrecsda_jpg.rf.b47224c2aa9e0daf7c10149ee3ec9d5d.jpg,ER_29,0.321875,0.4875,,,0.45600625,0.6185546875,,
TRAINING,gs://laundry_symbols_test/Laundry Coach v1i Coco/train/88_jpg.rf.c0acf48d983b25db54a2a00e7a74e2d0.jpg,ER_7,0.2125,0.4,,,0.325,0.49384843749999996,,
TRAINING,gs://laundry_symbols_test/Laundry Coach v1i Coco/train/88_jpg.rf.c0acf48d983b25db54a2a00e7a74e2d0.jpg,ER_18,0.3203125,0.4078125,,,0.4090328125,0.4812015625,,
TRAINING,gs://laundry_symbols_test/Laundry Coach v1i Coco/train/88_jpg.rf.c0acf48d983b25db54a2a00e7a74e2d0.jpg,ER_18,0.409375,0.409375,,,0.4873046875,0.47822343749999996,,
TRAINING,gs://laundry_symbols_test/Laundry Coach v1i Coco/train/88_jpg.rf.c0acf48d983b25db54a2a00e7a74e2d0.jpg,ER_39,0.484375,0.409375,,,0.5997078124999999,0.4828125,,
TRAINING,gs://laundry_symbols_test/Laundry Coach v1i Coco/train/88_jpg.rf.c0acf48d983b25db54a2a00e7a74e2d0.jpg,ER_42,0.603125,0.4125,,,0.6903328125,0.484375,,
TRAINING,gs://laundry_symbols_test/Laundry Coach v1i Coco/train/90_jpg.rf.b1182637f4dfe763ae14ffa928462339.jpg,ER_25,0.3921875,0.3484375,,,0.4828125,0.4109375,,
TRAINING,gs://laundry_symbols_test/Laundry Coach v1i Coco/train/90_jpg.rf.b1182637f4dfe763ae14ffa928462339.jpg,ER_18,0.29375,0.3578125,,,0.36953125,0.415625,,
TRAINING,gs://laundry_symbols_test/Laundry Coach v1i Coco/train/90_jpg.rf.b1182637f4dfe763ae14ffa928462339.jpg,ER_2,0.1703125,0.3625,,,0.26953125,0.41171875,,
TRAINING,gs://laundry_symbols_test/Laundry Coach v1i Coco/train/90_jpg.rf.b1182637f4dfe763ae14ffa928462339.jpg,ER_37,0.5140625,0.35,,,0.60703125,0.4046875,,
TRAINING,gs://laundry_symbols_test/Laundry Coach v1i Coco/train/90_jpg.rf.b1182637f4dfe763ae14ffa928462339.jpg,ER_52,0.61875,0.3421875,,,0.725,0.39921875,,
TRAINING,gs://laundry_symbols_test/Laundry Coach v1i Coco/train/120_jpg.rf.c22d50131fbc23fa9432b88dfb455b54.jpg,ER_5,0.2921875,0.6046875,,,0.375,0.6560546875,,
TRAINING,gs://laundry_symbols_test/Laundry Coach v1i Coco/train/120_jpg.rf.c22d50131fbc23fa9432b88dfb455b54.jpg,ER_18,0.39375,0.6046875,,,0.46240312499999997,0.6564453125,,
TRAINING,gs://laundry_symbols_test/Laundry Coach v1i Coco/train/120_jpg.rf.c22d50131fbc23fa9432b88dfb455b54.jpg,ER_27,0.4828125,0.603125,,,0.546875,0.6484859375,,
TRAINING,gs://laundry_symbols_test/Laundry Coach v1i Coco/train/120_jpg.rf.c22d50131fbc23fa9432b88dfb455b54.jpg,ER_38,0.5640625,0.6046875,,,0.634375,0.645459375,,
TRAINING,gs://laundry_symbols_test/Laundry Coach v1i Coco/train/120_jpg.rf.c22d50131fbc23fa9432b88dfb455b54.jpg,ER_42,0.653125,0.5984375,,,0.712353125,0.64399375,,
TRAINING,gs://laundry_symbols_test/Laundry Coach v1i Coco/train/58_jpg.rf.adef3692e4833dd07b0c6a9ca5fab8e7.jpg,ER_2,0.1296875,0.3734375,,,0.2673828125,0.475,,
TRAINING,gs://laundry_symbols_test/Laundry Coach v1i Coco/train/58_jpg.rf.adef3692e4833dd07b0c6a9ca5fab8e7.jpg,ER_18,0.265625,0.365625,,,0.3923828125,0.47788125,,
TRAINING,gs://laundry_symbols_test/Laundry Coach v1i Coco/train/58_jpg.rf.adef3692e4833dd07b0c6a9ca5fab8e7.jpg,ER_27,0.390625,0.3703125,,,0.5107421875,0.476465625,,
TRAINING,gs://laundry_symbols_test/Laundry Coach v1i Coco/train/58_jpg.rf.adef3692e4833dd07b0c6a9ca5fab8e7.jpg,ER_42,0.521875,0.3671875,,,0.6356453125,0.47314531249999997,,
TRAINING,gs://laundry_symbols_test/Laundry Coach v1i Coco/train/58_jpg.rf.adef3692e4833dd07b0c6a9ca5fab8e7.jpg,ER_37,0.646875,0.36875,,,0.778125,0.465234375,,
TRAINING,gs://laundry_symbols_test/Laundry Coach v1i Coco/train/cxzv_jpg.rf.b78bd8443a5918a893c6258d85911828.jpg,ER_12,0.290625,0.2828125,,,0.3719734375,0.41279374999999996,,
TRAINING,gs://laundry_symbols_test/Laundry Coach v1i Coco/train/cxzv_jpg.rf.b78bd8443a5918a893c6258d85911828.jpg,ER_18,0.365625,0.2484375,,,0.44209062499999996,0.37666093749999996,,
TRAINING,gs://laundry_symbols_test/Laundry Coach v1i Coco/train/cxzv_jpg.rf.b78bd8443a5918a893c6258d85911828.jpg,ER_25,0.4296875,0.2015625,,,0.501465625,0.3343265625,,
TRAINING,gs://laundry_symbols_test/Laundry Coach v1i Coco/train/cxzv_jpg.rf.b78bd8443a5918a893c6258d85911828.jpg,ER_37,0.4984375,0.1625,,,0.56743125,0.2952640625,,
TRAINING,gs://laundry_symbols_test/Laundry Coach v1i Coco/train/cxzv_jpg.rf.b78bd8443a5918a893c6258d85911828.jpg,ER_52,0.56875,0.121875,,,0.6435546875,0.246875,,
TRAINING,gs://laundry_symbols_test/Laundry Coach v1i Coco/train/images_jpeg.rf.b6f39b9ccedf5d3c4f9c04cbd32510a6.jpg,40C,0.3578125,0.5125,,,0.42329062500000003,0.6017578125,,
TRAINING,gs://laundry_symbols_test/Laundry Coach v1i Coco/train/images_jpeg.rf.b6f39b9ccedf5d3c4f9c04cbd32510a6.jpg,DN_bleach,0.4203125,0.5046875,,,0.4781734375,0.590625,,
TRAINING,gs://laundry_symbols_test/Laundry Coach v1i Coco/train/images_jpeg.rf.b6f39b9ccedf5d3c4f9c04cbd32510a6.jpg,DN_tumble_dry,0.4734375,0.490625,,,0.537353125,0.5778328125,,
TRAINING,gs://laundry_symbols_test/Laundry Coach v1i Coco/train/images_jpeg.rf.b6f39b9ccedf5d3c4f9c04cbd32510a6.jpg,iron_low,0.5359375,0.484375,,,0.5875,0.5657234375,,
TRAINING,gs://laundry_symbols_test/Laundry Coach v1i Coco/train/images_jpeg.rf.b6f39b9ccedf5d3c4f9c04cbd32510a6.jpg,DN_dry_clean,0.58125,0.4671875,,,0.6421875,0.5546875,,
TRAINING,gs://laundry_symbols_test/Laundry Coach v1i Coco/train/laundry-symbols-clothing-tag_292102_jpg.rf.b365a25232e768c0cab2d789c871e3d3.jpg,ER_5,0.0921875,0.378125,,,0.1734375,0.446875,,
TRAINING,gs://laundry_symbols_test/Laundry Coach v1i Coco/train/laundry-symbols-clothing-tag_292102_jpg.rf.b365a25232e768c0cab2d789c871e3d3.jpg,ER_6,0.178125,0.378125,,,0.26538125,0.45649375000000003,,
TRAINING,gs://laundry_symbols_test/Laundry Coach v1i Coco/train/laundry-symbols-clothing-tag_292102_jpg.rf.b365a25232e768c0cab2d789c871e3d3.jpg,ER_7,0.2703125,0.378125,,,0.3528328125,0.459375,,
